startup_id,feedback,rating,date
STARTUP_4512,"Great support, really helps with delivers real-time insights. Disappointed",5,2026-04-30 19:34:18.282854
STARTUP_4512,"The pricing could be improved, but overall Impressed.",4,2025-11-21 19:34:18.282854
STARTUP_4512,"Great integration, really helps with enables data-driven decisions. Neutral",1,2026-01-08 19:34:18.282854
STARTUP_4512,"Impressed with the support, especially the scales with your business.",5,2025-12-14 19:34:18.282854
STARTUP_4512,"Impressed with the support, especially the ensures data security.",5,2026-08-21 19:34:18.282854
STARTUP_4512,"The performance could be improved, but overall Very satisfied.",4,2025-12-26 19:34:18.282854
STARTUP_4512,"Neutral with the user interface, especially the delivers real-time insights.",1,2026-03-07 19:34:18.282854
STARTUP_4512,"Great pricing, really helps with ensures data security. Disappointed",2,2026-02-11 19:34:18.282854
STARTUP_4512,"The performance could be improved, but overall Excited.",2,2025-12-08 19:34:18.282854
STARTUP_4512,"Neutral with the support, especially the saves 10+ hours per week.",1,2025-10-30 19:34:18.282854
STARTUP_4512,"The support could be improved, but overall Excited.",3,2026-09-06 19:34:18.282854
STARTUP_3826,"Great integration, really helps with scales with your business. Excited",3,2025-03-14 19:34:18.282854
STARTUP_3826,"Excellent user interface, Very satisfied about the improves accuracy by 95%.",4,2025-06-14 19:34:18.282854
STARTUP_3826,"Excellent features, Neutral about the saves 10+ hours per week.",1,2025-12-04 19:34:18.282854
STARTUP_3826,"Great performance, really helps with ensures data security. Neutral",2,2025-12-06 19:34:18.282854
STARTUP_3826,"Great features, really helps with enables data-driven decisions. Excited",1,2025-10-23 19:34:18.282854
STARTUP_3826,"The pricing could be improved, but overall Excited.",2,2025-08-13 19:34:18.282854
STARTUP_3826,"The integration could be improved, but overall Happy.",1,2025-09-24 19:34:18.282854
STARTUP_3826,"The integration could be improved, but overall Very satisfied.",4,2025-05-26 19:34:18.282854
STARTUP_3826,"The integration could be improved, but overall Impressed.",4,2025-03-05 19:34:18.282854
STARTUP_3826,"The integration could be improved, but overall Excited.",4,2025-11-21 19:34:18.282854
STARTUP_3826,"Great integration, really helps with saves 10+ hours per week. Happy",2,2025-03-14 19:34:18.282854
STARTUP_3826,"Very satisfied with the user interface, especially the improves accuracy by 95%.",5,2025-11-22 19:34:18.282854
STARTUP_3826,"The integration could be improved, but overall Disappointed.",2,2025-02-22 19:34:18.282854
STARTUP_3826,"Great features, really helps with reduces operational costs by 40%. Happy",1,2025-07-11 19:34:18.282854
STARTUP_3826,"The user interface could be improved, but overall Very satisfied.",3,2025-02-10 19:34:18.282854
STARTUP_3826,"The support could be improved, but overall Very satisfied.",4,2025-09-20 19:34:18.282854
STARTUP_3826,"Great performance, really helps with automates repetitive tasks. Neutral",2,2025-05-18 19:34:18.282854
STARTUP_3826,"The performance could be improved, but overall Impressed.",3,2025-03-24 19:34:18.282854
STARTUP_3826,"The integration could be improved, but overall Excited.",1,2025-09-14 19:34:18.282854
STARTUP_3826,"Disappointed with the pricing, especially the increases efficiency by 3x.",2,2025-03-11 19:34:18.282854
STARTUP_2462,"The support could be improved, but overall Impressed.",4,2025-10-30 19:34:18.282854
STARTUP_2462,"Disappointed with the user interface, especially the enables data-driven decisions.",2,2025-06-13 19:34:18.282854
STARTUP_2462,"Excellent user interface, Happy about the provides personalized experiences.",3,2025-06-07 19:34:18.282854
STARTUP_2462,"The user interface could be improved, but overall Happy.",1,2025-05-21 19:34:18.282854
STARTUP_2462,"Very satisfied with the integration, especially the increases efficiency by 3x.",3,2025-06-14 19:34:18.282854
STARTUP_2462,"Great integration, really helps with provides personalized experiences. Impressed",3,2025-10-29 19:34:18.282854
STARTUP_2462,"The user interface could be improved, but overall Excited.",5,2025-09-17 19:34:18.282854
STARTUP_2462,"Great integration, really helps with saves 10+ hours per week. Impressed",3,2025-11-09 19:34:18.282854
STARTUP_2462,"Great support, really helps with increases efficiency by 3x. Neutral",3,2025-12-04 19:34:18.282854
STARTUP_2462,"Excellent performance, Very satisfied about the enables data-driven decisions.",5,2025-07-26 19:34:18.282854
STARTUP_2462,"The integration could be improved, but overall Excited.",4,2026-03-17 19:34:18.282854
STARTUP_2462,"The performance could be improved, but overall Happy.",2,2025-11-20 19:34:18.282854
STARTUP_2462,"Neutral with the support, especially the reduces operational costs by 40%.",5,2026-02-24 19:34:18.282854
STARTUP_4225,"The features could be improved, but overall Impressed.",1,2025-02-04 19:34:18.282854
STARTUP_4225,"Great user interface, really helps with improves accuracy by 95%. Excited",3,2025-02-06 19:34:18.282854
STARTUP_4225,"Great integration, really helps with saves 10+ hours per week. Very satisfied",3,2024-12-03 19:34:18.282854
STARTUP_4225,"Excellent performance, Neutral about the delivers real-time insights.",5,2025-04-07 19:34:18.282854
STARTUP_4225,"The user interface could be improved, but overall Disappointed.",1,2024-09-07 19:34:18.282854
STARTUP_4225,"Great user interface, really helps with provides personalized experiences. Very satisfied",5,2025-02-17 19:34:18.282854
STARTUP_4225,"Great features, really helps with increases efficiency by 3x. Very satisfied",2,2024-06-28 19:34:18.282854
STARTUP_4225,"The support could be improved, but overall Very satisfied.",5,2025-04-18 19:34:18.282854
