startup_id,name,category,description,founded_date,funding_stage,funding_amount,team_size,location,status,website,success_score
STARTUP_0001,User-Friendly EdTech Tech,EdTech,"We are building a powerful edtech solution that helps professionals to improve efficiency using cloud computing. Our platform saves 10+ hours per week and integrates with existing systems. Our focus areas include certification program, course marketplace, personalized education.",2025-05-22 19:34:18.282854,Series B,0,4,New York,Active,www.edtech0.com,0.34224159962573686
STARTUP_0002,Advanced Healthcare Labs,Healthcare AI,"Next-generation healthcare ai company helping educators manage resources. Our quantum computing-powered platform automates repetitive tasks and offers custom solutions. Our focus areas include telemedicine, mental health, wellness platform.",2024-07-06 19:34:18.282854,Pre-seed,10000000,21,Bangalore,Active,www.healthcareai1.com,0.1658104012585459
STARTUP_0003,Next-Generation FinTech Solutions,FinTech,"A seamless startup focused on fintech for students. We leverage machine learning to increase productivity and provide provides personalized experiences. Our focus areas include banking solution, wealth management, insurance tech.",2024-06-22 19:34:18.282854,Pre-seed,5000000,59,New York,Acquired,www.fintech2.com,0.20403994521601954
STARTUP_0004,Cutting-Edge Social AI,Social Media,"Next-generation social media company helping communities streamline processes. Our deep learning-powered platform improves accuracy by 95% and integrates with existing systems. Our focus areas include content creation, content moderation, community platform.",2024-07-18 19:34:18.282854,Pre-seed,10000000,30,New York,Acquired,www.socialmedia3.com,0.3581887554246956
STARTUP_0005,Next-Generation Remote Systems,Remote Work,"Our remote work platform enables students to streamline processes through cloud computing. Key features include integrates with existing systems and delivers real-time insights. Our focus areas include cloud storage, task automation, project management.",2025-03-25 19:34:18.282854,Seed,50000,60,Bangalore,Active,www.remotework4.com,0.3205838704990648
STARTUP_0006,Modern Travel Platform,Travel Tech,"Our travel tech platform enables organizations to innovate faster through artificial intelligence. Key features include offers 24/7 support and improves accuracy by 95%. Our focus areas include flight comparison, hotel management, travel insurance.",2023-12-02 19:34:18.282854,Seed,1000000,92,Tokyo,Active,www.traveltech5.com,0.09832146075036968
STARTUP_0007,User-Friendly Real Systems,Real Estate Tech,"Revolutionary real estate tech solution that automate workflows for creators. Using blockchain, we delivers real-time insights while provides detailed analytics. Our focus areas include real estate investment, mortgage platform, tenant screening.",2024-06-21 19:34:18.282854,Series C,500000,75,Bangalore,Active,www.realestatetech6.com,0.22151422671402834
STARTUP_0008,Advanced IoT Solutions,IoT & Smart Home,"Next-generation iot & smart home company helping enterprises innovate faster. Our artificial intelligence-powered platform increases efficiency by 3x and provides detailed analytics. Our focus areas include IoT platform, connected appliances, sensor network.",2025-05-28 19:34:18.282854,Pre-seed,500000,49,Remote,Failed,www.iot&smarthome7.com,0.15937752033309405
STARTUP_0009,Next-Generation IoT Labs,IoT & Smart Home,"We are building a user-friendly iot & smart home solution that helps consumers to innovate faster using big data analytics. Our platform ensures data security and integrates with existing systems. Our focus areas include energy management, sensor network, connected appliances.",2025-01-02 19:34:18.282854,Pre-seed,5000000,93,Singapore,Failed,www.iot&smarthome8.com,0.12873734654927588
STARTUP_0010,Seamless Food Solutions,Food Delivery,"Next-generation food delivery company helping enterprises achieve goals. Our edge computing-powered platform delivers real-time insights and includes training resources. Our focus areas include quick delivery, grocery delivery, food ordering.",2024-10-12 19:34:18.282854,Seed,1000000,100,San Francisco,Failed,www.fooddelivery9.com,0.11276668348299691
STARTUP_0011,Comprehensive Healthcare Systems,Healthcare AI,"We are building a cutting-edge healthcare ai solution that helps students to achieve goals using augmented reality. Our platform delivers real-time insights and ensures compliance. Our focus areas include health monitoring, telemedicine, wellness platform.",2023-12-15 19:34:18.282854,Pre-seed,5000000,63,New York,Failed,www.healthcareai10.com,0.18566048480568523
STARTUP_0012,Seamless Social Solutions,Social Media,"A user-friendly startup focused on social media for financial institutions. We leverage blockchain to connect and collaborate and provide delivers real-time insights. Our focus areas include social commerce, social analytics, community platform.",2025-03-31 19:34:18.282854,Seed,5000000,40,Bangalore,Active,www.socialmedia11.com,0.6625555052394813
STARTUP_0013,Automated Healthcare Systems,Healthcare AI,"We are building a advanced healthcare ai solution that helps individuals to increase productivity using IoT sensors. Our platform reduces operational costs by 40% and offers free trial. Our focus areas include fitness tracking, telemedicine, wellness platform.",2024-05-08 19:34:18.282854,Pre-seed,0,91,San Francisco,Active,www.healthcareai12.com,0.2744954037676423
STARTUP_0014,Cutting-Edge IoT Labs,IoT & Smart Home,"Our iot & smart home platform enables consumers to improve efficiency through big data analytics. Key features include ensures compliance and enables data-driven decisions. Our focus areas include temperature control, connected appliances, home monitoring.",2025-05-08 19:34:18.282854,Series B,50000,61,Bangalore,Active,www.iot&smarthome13.com,0.4799273835635359
STARTUP_0015,Cutting-Edge Legal Tech,Legal Tech,"Revolutionary legal tech solution that make better decisions for healthcare providers. Using natural language processing, we reduces operational costs by 40% while integrates with existing systems. Our focus areas include contract management, dispute resolution, legal marketplace.",2024-01-15 19:34:18.282854,Seed,50000,25,Remote,Active,www.legaltech14.com,0.22468543260986465
